"GEOID","totalE","ownerE","renterE"
"42017100102",1342,414,928
"42017100103",1001,574,427
"42017100104",1969,580,1389
"42017100105",1243,970,273
"42017100201",1830,1726,104
"42017100206",2111,1190,921
"42017100207",2065,1088,977
"42017100208",2598,1082,1516
"42017100210",2516,2399,117
"42017100211",3027,1771,1256
"42017100212",1260,1208,52
"42017100213",2019,906,1113
"42017100214",1419,550,869
"42017100302",1810,1609,201
"42017100303",1869,1241,628
"42017100304",1334,588,746
"42017100306",1663,807,856
"42017100307",2065,1297,768
"42017100401",2237,1669,568
"42017100402",2246,1843,403
"42017100403",905,729,176
"42017100404",2147,1739,408
"42017100406",1661,1070,591
"42017100407",497,488,9
"42017100408",2243,2160,83
"42017100500",1145,878,267
"42017100600",1606,908,698
"42017100700",1395,785,610
"42017100803",1771,1530,241
"42017100804",1078,1033,45
"42017100805",2182,1939,243
"42017100807",1648,1133,515
"42017100808",1831,1361,470
"42017100809",2181,1797,384
"42017100811",2043,647,1396
"42017100900",2534,2393,141
"42017101100",1015,449,566
"42017101401",1914,1690,224
"42017101403",2336,2254,82
"42017101404",1105,980,125
"42017101405",2464,1505,959
"42017101503",1662,1469,193
"42017101504",1276,801,475
"42017101505",1201,1182,19
"42017101506",2107,1819,288
"42017101603",1135,759,376
"42017101605",2128,415,1713
"42017101607",2054,1586,468
"42017101609",1537,1396,141
"42017101610",1643,1523,120
"42017101611",2649,2338,311
"42017101802",2048,1919,129
"42017101805",795,713,82
"42017101807",1497,1005,492
"42017101808",1434,693,741
"42017101809",1331,1331,0
"42017101810",2282,1961,321
"42017101900",1688,1406,282
"42017102002",968,909,59
"42017102003",1430,1254,176
"42017102004",2061,1554,507
"42017102102",1286,1135,151
"42017102104",2212,1874,338
"42017102300",2226,1870,356
"42017102401",1572,972,600
"42017102402",1923,1460,463
"42017102500",1944,1292,652
"42017102600",963,517,446
"42017102700",2147,1699,448
"42017102801",1373,1306,67
"42017103101",914,445,469
"42017103102",713,420,293
"42017103103",1883,1075,808
"42017103300",901,828,73
"42017103400",2250,1892,358
"42017103700",1344,1066,278
"42017103800",608,547,61
"42017103900",1738,1560,178
"42017104000",2578,2386,192
"42017104100",966,586,380
"42017104201",1079,1065,14
"42017104203",1864,1610,254
"42017104204",2049,1828,221
"42017104301",1138,1037,101
"42017104303",1929,1735,194
"42017104304",608,551,57
"42017104400",1356,847,509
"42017104502",3087,2944,143
"42017104503",1481,1352,129
"42017104505",1896,1880,16
"42017104506",947,899,48
"42017104601",1595,1581,14
"42017104603",2151,1732,419
"42017104604",2560,1911,649
"42017104701",1706,708,998
"42017104702",1380,608,772
"42017104703",903,759,144
"42017104800",784,730,54
"42017104901",2286,2185,101
"42017104902",3079,2961,118
"42017105003",1880,1837,43
"42017105004",2015,1920,95
"42017105006",1794,1759,35
"42017105008",1472,1445,27
"42017105009",1245,895,350
"42017105010",1460,1255,205
"42017105011",1332,1172,160
"42017105012",926,905,21
"42017105013",2038,1998,40
"42017105100",1157,938,219
"42017105202",2028,1452,576
"42017105203",801,721,80
"42017105206",2254,1999,255
"42017105207",1964,1679,285
"42017105208",785,771,14
"42017105300",936,706,230
"42017105401",1750,1612,138
"42017105402",1661,1582,79
"42017105505",1480,1315,165
"42017105506",1331,1320,11
"42017105507",2684,2616,68
"42017105508",1134,1126,8
"42017105509",1650,1569,81
"42017105510",2827,1671,1156
"42017105511",1429,1374,55
"42017105600",1153,832,321
"42017105702",1322,721,601
"42017105704",2954,2201,753
"42017105801",2355,1461,894
"42017105805",2501,1846,655
"42017105807",1542,687,855
"42017105808",1356,1203,153
"42017105809",1452,1336,116
"42017105810",865,772,93
"42017105811",2109,1805,304
"42017105812",586,543,43
"42017105900",913,463,450
"42017106000",1683,990,693
"42017106100",880,543,337
"42017106201",1376,1142,234
"42017106202",1880,837,1043
"42017106300",2711,2266,445
"42017106401",2996,2690,306
"42017106402",2873,2648,225
"42017106500",2796,2300,496
"42017106600",828,677,151
"42029300101",1160,892,268
"42029300103",1234,778,456
"42029300104",2113,1830,283
"42029300106",2295,1501,794
"42029300107",1511,1355,156
"42029300108",2653,1579,1074
"42029300109",1216,1160,56
"42029300201",2074,1386,688
"42029300202",1834,1816,18
"42029300301",1648,1506,142
"42029300302",1419,1383,36
"42029300303",1281,1132,149
"42029300400",1588,885,703
"42029300501",1727,1556,171
"42029300502",1351,1188,163
"42029300600",2632,1530,1102
"42029300700",2540,1102,1438
"42029300800",2181,773,1408
"42029300900",1021,798,223
"42029301001",2152,1973,179
"42029301002",1262,1020,242
"42029301100",1903,1001,902
"42029301300",2738,2232,506
"42029301401",1454,755,699
"42029301402",1921,1717,204
"42029301500",1016,941,75
"42029301600",1053,936,117
"42029301700",608,527,81
"42029301800",2383,2002,381
"42029301900",1394,1321,73
"42029302000",2123,1894,229
"42029302102",1449,872,577
"42029302103",1557,908,649
"42029302104",2123,1298,825
"42029302203",1802,1692,110
"42029302204",2354,1842,512
"42029302205",1033,607,426
"42029302206",2259,996,1263
"42029302207",203,0,203
"42029302300",1623,476,1147
"42029302400",1975,660,1315
"42029302500",1527,641,886
"42029302600",1871,525,1346
"42029302702",2157,1123,1034
"42029302703",1697,1480,217
"42029302704",1786,1697,89
"42029302705",1330,811,519
"42029302706",2067,1262,805
"42029302802",1851,1552,299
"42029302803",1437,1311,126
"42029302804",1773,1179,594
"42029302806",1855,1212,643
"42029302807",2004,943,1061
"42029302901",1939,1490,449
"42029302902",2282,1924,358
"42029303000",1220,877,343
"42029303100",1437,1418,19
"42029303301",1344,894,450
"42029303302",2105,1723,382
"42029303401",1486,842,644
"42029303402",747,417,330
"42029303501",1640,1552,88
"42029303502",1162,1009,153
"42029303801",1667,1571,96
"42029303803",1459,1407,52
"42029303804",1848,1797,51
"42029303901",1442,1364,78
"42029303902",2143,1730,413
"42029304000",2582,1513,1069
"42029304101",2140,954,1186
"42029304102",1253,842,411
"42029304201",2898,2221,677
"42029304300",3380,3136,244
"42029304403",1621,1348,273
"42029304404",2379,1202,1177
"42029304405",2119,2084,35
"42029304406",1536,962,574
"42029304502",986,979,7
"42029304503",1637,1486,151
"42029304504",1396,1250,146
"42029304600",1177,1048,129
"42029304900",2773,2016,757
"42029305000",702,539,163
"42029305101",1837,1568,269
"42029305102",1573,1439,134
"42029305300",2737,2240,497
"42029305400",1560,459,1101
"42029305500",1254,425,829
"42029305600",990,307,683
"42029305700",845,500,345
"42029306000",2753,2515,238
"42029306300",964,722,242
"42029306501",1576,1352,224
"42029306503",896,558,338
"42029306504",1520,1287,233
"42029306600",1057,980,77
"42029306700",1607,1564,43
"42029306800",580,563,17
"42029306900",2000,1829,171
"42029307000",2073,1534,539
"42029307100",972,915,57
"42029307200",417,375,42
"42029307300",1453,1172,281
"42029307400",1472,974,498
"42029307700",852,724,128
"42029307800",885,761,124
"42029307900",1056,936,120
"42029308000",2119,814,1305
"42029308101",1346,1260,86
"42029308102",1467,1231,236
"42029308200",1088,911,177
"42029311000",2400,2039,361
"42029311100",1377,1128,249
"42029311200",879,597,282
"42029311300",1002,966,36
"42029311401",2762,1812,950
"42029311403",1518,1359,159
"42029311404",1406,1344,62
"42029311500",1388,1141,247
"42029311600",878,459,419
"42029311701",943,852,91
"42029311702",2197,1996,201
"42029311800",1205,994,211
"42045400301",2914,953,1961
"42045400302",1171,532,639
"42045400401",2204,1000,1204
"42045400402",1694,847,847
"42045400500",1625,855,770
"42045400600",2056,1363,693
"42045400700",1947,1244,703
"42045400801",1096,72,1024
"42045400802",1341,1013,328
"42045400900",543,524,19
"42045401000",715,493,222
"42045401101",1249,912,337
"42045401103",1202,1002,200
"42045401104",1832,1213,619
"42045401200",1475,1103,372
"42045401302",1162,808,354
"42045401303",1311,101,1210
"42045401401",790,630,160
"42045401402",1873,1020,853
"42045401502",1966,694,1272
"42045401503",1450,1239,211
"42045401600",807,452,355
"42045401700",1188,724,464
"42045401800",1525,1145,380
"42045401900",1993,1494,499
"42045402000",1340,721,619
"42045402100",2385,1442,943
"42045402200",950,502,448
"42045402300",1621,484,1137
"42045402400",1013,457,556
"42045402500",1334,664,670
"42045402600",1216,663,553
"42045402700",837,433,404
"42045402800",1992,1196,796
"42045402900",1322,745,577
"42045403001",1214,1066,148
"42045403002",986,646,340
"42045403101",1404,750,654
"42045403103",1182,857,325
"42045403104",809,351,458
